steps,mean_exact,var_exact,mean_independent_modes,var_independent_modes
0,0.5,0.25000000000000017,0.5,0.2500000000000002
5,0.22344415702574721,0.2665046997373113,0.22344415702574716,0.3374992694652747
10,0.3023095193777851,0.29488261484207556,0.30230951937778505,0.4043790147593656
15,0.3955300364687909,0.3418806106620677,0.3955300364687909,0.4654958526713069
20,0.4190564695407755,0.32365175798821766,0.41905646954077547,0.4804958438188506
25,0.43444255808821913,0.3227191012925764,0.43444255808821924,0.4838975408603373
30,0.44671847426741207,0.33358232741433214,0.44671847426741207,0.49079469784759766
35,0.4581853838293483,0.3536967389595184,0.4581853838293482,0.49541661880196897
40,0.4534883157131712,0.342195814962494,0.4534883157131713,0.49329355997837043
45,0.4982011707177343,0.3377563317146845,0.4982011707177344,0.4965322411614945
50,0.4854974023296168,0.34409834113149557,0.4854974023296168,0.4995744583137661
55,0.49149812564804984,0.33660862370829486,0.49149812564804984,0.49823315232164034
60,0.4894625393535484,0.3382772172629644,0.4894625393535483,0.4997359896065259
65,0.5155801813445544,0.3283251165136836,0.5155801813445543,0.49757813716281096
70,0.45911288580958975,0.3369963519482949,0.45911288580958987,0.49572983503927825
75,0.5022699766832303,0.33477795082505934,0.5022699766832305,0.49967466783069625
80,0.44164926220460665,0.3304866314174791,0.4416492622046066,0.49318939119231864
85,0.48664621028956245,0.34025217274513103,0.48664621028956234,0.4990741082647404
90,0.4925110284957697,0.3393997515389576,0.4925110284957698,0.49861906620725094
95,0.514794258833636,0.33114317185144765,0.514794258833636,0.49951271760015437
100,0.5240945072273081,0.3295821394758416,0.5240945072273082,0.4972093899056813
